Artista,Ascolti,AscoltiFilter,TracceUniche,TracceUnicheFilter
Jermaine Jackson,1,1,1,1
Smokey Robinson,1,1,1,1
The Breeders,1,1,1,1
The Black Ghosts,1,0,1,0
Antoine Dufour,1,1,1,1
Los Locos,1,0,1,0
Marisa Monte,1,0,1,0
Swervedriver,1,0,1,0
Orlando Gibbons,1,0,1,0
Stone Sour,1,0,1,0
Jerry Bryant,1,0,1,0
Maurits Pauwels en de Benelux Calypsos,1,0,1,0
Gio,1,0,1,0
John Phillips,1,0,1,0
Erik Truffaz,1,0,1,0
Marcus Miller,1,0,1,0
Herbert Pixner Projekt,1,0,1,0
Woods of Birnam,1,0,1,0
ZackGrooves,1,0,1,0
Yung Lotus,1,0,1,0
zan.,1,1,1,1
Jazzy Afro,1,1,1,1
ogu,1,1,1,1
The Aether,1,1,1,1
Frances The Mute,1,1,1,1
Jooha.,1,1,1,1
Leomode,1,1,1,1
Jaz93,1,1,1,1
Rollisim,1,1,1,1
Wulf Morpheus,1,1,1,1
Crispy Beats,1,1,1,1
Kcvee,1,1,1,1
flex.,1,1,1,1
Two Primms,1,1,1,1
Loop Bandit,1,1,1,1
Blackone Beats,1,1,1,1
SamuW,1,1,1,1
Hz.,1,1,1,1
Konteks,1,1,1,1
ØDYSSEE,1,1,1,1
Bilo 503,1,1,1,1
7&Nine,1,1,1,1
imagiro,1,1,1,1
Yestalgia,1,1,1,1
Maoen,1,1,1,1
Pueblo Vista,1,1,1,1
Tosama Beats,1,1,1,1
sftspkn,1,1,1,1
eaup,1,1,1,1
Teo,1,1,1,1
Fthmlss,1,1,1,1
G Mills,1,1,1,1
Sleepdealer,1,1,1,1
Damien Sebe,1,1,1,1
Mahaki,1,1,1,1
leaf beach,1,1,1,1
Mujo,1,1,1,1
Lifted LoFi,1,1,1,1
Diodato,1,0,1,0
Jacques Thibaud,1,0,1,0
David Baker,1,0,1,0
Grigoris Bithikotsis,1,1,1,1
Hyperflow,1,1,1,1
Fastball,1,0,1,0
The Black Crowes,1,0,1,0
Big Jay McNeely,1,0,1,0
Cori Era Fascista,1,0,1,0
Francesca Michielin,1,0,1,0
Bucovina Club,1,0,1,0
Samiyam,1,0,1,0
Szigeti Juli,1,1,1,1
Cut Capers,1,1,1,1
Kerusu,1,1,1,1
Bénabar,1,1,1,1
Volga Dance Ensemble and Choir,1,1,1,1
Golden Ring Ensemble,1,1,1,1
Vitaly Romanov,1,1,1,1
"St. Petersburg Ensemble of Russian Folk Instruments, ""Carousel""",1,1,1,1
St. Petersburg Optina Pustyn Male Choir,1,1,1,1
Владимир Зарков,1,1,1,1
Platinum Collection Band,1,0,1,0
Vasily Agapkin,1,1,1,1
Valve Studio Orchestra,1,0,1,0
Giannis Parios,1,0,1,0
Radio Tarifa,1,0,1,0
Gary Go,1,0,1,0
The Fusion Syndicate,1,0,1,0
Notis Sfakianakis,1,1,1,1
Genevieve Davis,1,0,1,0
Mike WiLL Made-It,1,1,1,1
Biffy Clyro,1,1,1,1
Placebo,1,1,1,1
The Detroit Emeralds,1,0,1,0
Carbon Based Lifeforms,1,1,1,1
Composerily,1,0,1,0
J. Cole,1,0,1,0
Lord Tanamo,1,0,1,0
"Nagauto Shamisen - C. Ikehara, Lorie Brau",1,0,1,0
Prince Buster,1,1,1,1
The Paragons,1,1,1,1
Drop Department,1,0,1,0
Sanjeevani Bhelande,1,0,1,0
Keerthi Sagathia,1,0,1,0
The Weather Girls,1,0,1,0
Geri Halliwell,1,0,1,0
Viktor Simcisko,1,1,1,1
Henry Butler,1,1,1,1
The Knocks,1,1,1,1
Eriss Roberto,1,0,1,0
Sophia Agranovich,1,0,1,0
Kid Quill,1,0,1,0
James Crabb,1,1,1,1
Pomplamoose,1,1,1,1
Berry,1,1,1,1
Joshua Radin,1,1,1,1
Elephant Man,1,0,1,0
Tryo,1,0,1,0
Viggo Mortensen,1,0,1,0
Ara Malikian,1,0,1,0
Jarvis Cocker,1,0,1,0
松重豊,1,0,1,0
Debout Sur Le Zinc,1,0,1,0
Pokey LaFarge,1,0,1,0
Peter Maxwell Davies,1,0,1,0
morgxn,1,0,1,0
The Sugarhill Gang,1,0,1,0
老王樂隊,1,0,1,0
Jonne Valtonen,1,0,1,0
Scratch Bernstein,1,0,1,0
Yuji Ohno,1,0,1,0
Gateway,1,0,1,0
Sandeep Bhagwati,1,0,1,0
Lavendle,1,1,1,1
Prewitt Massé,1,1,1,1
Amadeo Rossi,1,1,1,1
Ricki Westberg,1,1,1,1
Con Alma,1,1,1,1
Gilbert Lécuyer,1,1,1,1
Taylor Driskell,1,1,1,1
Odin Sørlie,1,1,1,1
Thalia Havenstein,1,1,1,1
Biba Dupont,1,1,1,1
Davignon,1,1,1,1
Pio Roque,1,1,1,1
Etienne Balestre,1,0,1,0
Fernando Alegre,1,0,1,0
Tan Dun,1,1,1,1
Léon Boëllmann,1,0,1,0
Arthur Honegger,1,1,1,1
Samba,1,0,1,0
Orchestra Xavier Cugat,1,0,1,0
Descemer Bueno,1,1,1,1
Marquetti,1,1,1,1
Formell y los Van Van,1,1,1,1
"Calzado, Rudy",1,1,1,1
ANGRA,1,0,1,0
Christopher Theofanidis,1,1,1,1
New Zealand Symphony Orchestra,1,1,1,1
Cecilia McDowall,1,0,1,0
"Pete ""El Conde"" Rodriguez",1,1,1,1
Anita O'Day,1,1,1,1
Roy Eldridge,1,1,1,1
Harry James,1,1,1,1
Yuri Buenaventura,1,1,1,1
Gareth Farr,1,0,1,0
Lyell Cresswell,1,0,1,0
Jack Gottlieb,1,0,1,0
Raymond Scott,1,0,1,0
Johnny Pearson,1,0,1,0
Max Steiner,1,0,1,0
the band apart,1,0,1,0
Aleksandar Kashtanov,1,0,1,0
The Karaoke Channel,1,0,1,0
SBI Audio Karaoke,1,1,1,1
Leanne & Naara,1,0,1,0
Cast,1,0,1,0
Natalino Otto,1,0,1,0
Papatinho,1,1,1,1
Luisito Ayala Y La Puerto Rican Power,1,1,1,1
Tommy Olivencia,1,1,1,1
Jesús Leal,1,0,1,0
Grupo Fantasma,1,1,1,1
Dooz Kawa,1,1,1,1
Pupajim,1,1,1,1
Stand High Patrol,1,1,1,1
Matching Mole,1,1,1,1
Duncan Disorderly & The Scallywags,1,0,1,0
Binbag Wisdom,1,1,1,1
Gentle Mystics,1,1,1,1
Scubaroots,1,1,1,1
Boom Pam,1,1,1,1
Sheelanagig,1,1,1,1
The Langan Band,1,1,1,1
Municipale Balcanica,1,1,1,1
Town of Cats,1,1,1,1
Molotov Jukebox,1,1,1,1
High Cross Society,1,0,1,0
Arsenio Rodríguez,1,1,1,1
Luis Carbonell,1,1,1,1
Eddie Lebron,1,1,1,1
Otto,1,0,1,0
Mind Storm,1,0,1,0
Moontales,1,1,1,1
Klopfgeister,1,1,1,1
Madra Rua,1,0,1,0
Mary Black,1,0,1,0
Pin-occhio,1,0,1,0
El Mundo,1,1,1,1
Kora (CA),1,1,1,1
Soul Of Void,1,1,1,1
Peter Donohoe,1,1,1,1
Fox on Stilts,1,0,1,0
The Civil Wars,1,0,1,0
Fletcher Henderson & His Orchestra,1,0,1,0
Buddy Rich Big Band,1,0,1,0
Boris Kovac & La Campanella,1,0,1,0
Dario Baldan Bembo,1,1,1,1
The Meters,1,0,1,0
Nathalie Cardone,1,0,1,0
Carlos Puebla Y Sus Tradicionales,1,0,1,0
Carlos Puebla Y Los Tradicionales,1,1,1,1
John Grant,1,0,1,0
Colin Hay,1,1,1,1
Hoobastank,1,1,1,1
Karima,1,1,1,1
Predawn,1,1,1,1
The Reign of Kindo,1,1,1,1
Andrea Radice,1,0,1,0
Rita Bellanza,1,0,1,0
Ebo Taylor,1,1,1,1
Axel Krygier,1,1,1,1
Kanaku y El Tigre,1,1,1,1
Bill Charlap,1,1,1,1
The Algorithm,1,0,1,0
Tété,1,1,1,1
FEATHERED SUN,1,0,1,0
Arutani,1,0,1,0
Modern English,1,1,1,1
Greyboy,1,1,1,1
Erlend Øye,1,0,1,0
Virgil Donati,1,1,1,1
Air Supply,1,0,1,0
Fats Domino,1,1,1,1
Herb Alpert & The Tijuana Brass,1,1,1,1
Hermann Prey,1,1,1,1
Piero Cappuccilli,1,1,1,1
Michel Legrand,1,1,1,1
Off Limits,1,1,1,1
Fool's Gold,1,1,1,1
Campo,1,0,1,0
Jneiro Jarel,1,0,1,0
Mory Kanté,1,0,1,0
Zaraf,1,0,1,0
The Dynamics,1,1,1,1
Verme,1,0,1,0
Victor de Sabata,1,1,1,1
Riccardo Chailly,1,1,1,1
Samuel Ramey,1,1,1,1
Los Manolos,1,0,1,0
Twain,1,1,1,1
Salsa Giants,1,0,1,0
Prince Royce,1,0,1,0
Miriam Cruz,1,0,1,0
Ilegales,1,0,1,0
Los Fuertes,1,0,1,0
Juan Formell y Los Van Van,1,0,1,0
Raulin Rodriguez,1,0,1,0
LARITZA BACALLAO,1,0,1,0
Orquesta Las Canelas,1,0,1,0
Quirke,1,1,1,1
Maeta,1,1,1,1
Dj Streaks,1,1,1,1
Bow Anderson,1,1,1,1
Elysia Crampton,1,1,1,1
Ash Koosha,1,1,1,1
Naeem,1,1,1,1
Inwards,1,1,1,1
Unknown T,1,1,1,1
PnB Rock,1,1,1,1
Chiiild,1,1,1,1
MYSTXRIVL,1,1,1,1
Skee Mask,1,1,1,1
Okzharp & Manthe Ribane,1,1,1,1
Jacques Greene,1,1,1,1
Smoke DZA,1,1,1,1
Girl Unit,1,1,1,1
Mo Kolours,1,1,1,1
Greyhat,1,1,1,1
Calibre,1,1,1,1
Real Lies,1,1,1,1
Javelin,1,1,1,1
Yuno,1,1,1,1
Murkage Dave,1,1,1,1
Biig Piig,1,1,1,1
"quickly, quickly",1,1,1,1
Light Year,1,1,1,1
Matty,1,1,1,1
Amanaz,1,1,1,1
Icarus,1,1,1,1
Andrea,1,1,1,1
Cosha,1,1,1,1
Tizzy Gang,1,1,1,1
Falside,1,1,1,1
Lorenzo_BITW,1,1,1,1
Spoek Mathambo,1,1,1,1
Jowaa,1,1,1,1
Nine,1,1,1,1
Deadcrow,1,1,1,1
rAHHH,1,1,1,1
Evian Christ,1,1,1,1
Dean Blunt,1,1,1,1
Heidevolk,1,0,1,0
Falkenbach,1,1,1,1
Liza Minnelli,1,0,1,0
Avion Travel,1,0,1,0
Giorgio Conte,1,0,1,0
Pescado Rabioso,1,1,1,1
Gary Moore,1,1,1,1
Bootylicious Piano Master,1,0,1,0
Syran Mbenza,1,0,1,0
Louis Prima with Sam Butera & The Witnesses,1,1,1,1
Louis Prima & Keely Smith,1,0,1,0
Spice Girls,1,0,1,0
Moop Mama,1,1,1,1
Waldeck,1,1,1,1
Aymée Nuviola,1,1,1,1
El Hijo de Teresa y la Llegada,1,1,1,1
Mixael Cabrera,1,1,1,1
Papucho Manana Club,1,0,1,0
Felicity Lott,1,1,1,1
Julia Varady,1,1,1,1
Patricia Petibon,1,1,1,1
Sylvia Rose Moy,1,1,1,1
Rudolf Sieczynski,1,1,1,1
Alfredo Kraus,1,1,1,1
Vienna State Opera Chorus,1,1,1,1
Coro Del Teatro Alla Scala Di Milano,1,1,1,1
Renée Fleming,1,1,1,1
Joseph Kosma,1,1,1,1
Future Frequency,1,0,1,0
Francesco Gabbani,1,0,1,0
Nik Kershaw,1,0,1,0
Cliff Richard,1,0,1,0
Sanremo Backing Vocals,1,0,1,0
Big Country,1,0,1,0
Marco Manca,1,0,1,0
Luca Velletri,1,0,1,0
Camille Cabaltera,1,0,1,0
Jonathan Parker & Seth Asarnow,1,0,1,0
Asens,1,0,1,0
Jazz Rilassante,1,0,1,0
Guru,1,0,1,0
Alcatrazz,1,0,1,0
Chuck Johnson,1,1,1,1
Ozric Tentacles,1,1,1,1
Judy Collins,1,0,1,0
Azzura,1,1,1,1
LEEX,1,1,1,1
TV Themes,1,1,1,1
Andy Griffith,1,0,1,0
Marina Martín Maldonado,1,0,1,0
Arttu Silvast,1,1,1,1
Matthew Chastney,1,1,1,1
Applefish,1,1,1,1
Dario Crisman,1,1,1,1
Diamond Note,1,1,1,1
Martin Tillman,1,1,1,1
Daniël Tomàs,1,1,1,1
Christina Vantzou,1,1,1,1
Antarctic Wastelands,1,1,1,1
We Dream of Eden,1,1,1,1
Arthur Mine,1,1,1,1
Kristian Kamp,1,1,1,1
Francesco Siano,1,1,1,1
Ian Wong,1,1,1,1
Chris Embers,1,1,1,1
Be Still the Earth,1,1,1,1
The Lost Fingers,1,1,1,1
Les Petits Enfants,1,0,1,0
Alain Le Lait,1,0,1,0
Fungus Funk,1,1,1,1
Negramaro,1,1,1,1
Black Label Society,1,1,1,1
Danzig,1,1,1,1
DevilDriver,1,0,1,0
Melvins,1,1,1,1
Girlpool,1,1,1,1
m1v,1,1,1,1
Black Czar,1,1,1,1
The Duke Of Iron,1,1,1,1
Calypso Mama,1,0,1,0
Mighty Panther,1,1,1,1
Roaring Lion,1,1,1,1
The Great Honourable Lord Pretender,1,1,1,1
Growling Tiger,1,1,1,1
Goya Project,1,0,1,0
Shaheen Sheik,1,0,1,0
Cantoma,1,0,1,0
Lal Meri,1,0,1,0
Ravin,1,0,1,0
Wax Tailor,1,0,1,0
The Electric Swing Circus,1,1,1,1
Klischée,1,0,1,0
11 Acorn Lane,1,1,1,1
Wolfgang Lohr,1,1,1,1
Jenny And The Mexicats,1,0,1,0
Percy Sledge,1,0,1,0
Arthur Conley,1,0,1,0
Leandro Hladkowicz,1,0,1,0
HK,1,1,1,1
Masamasa,1,0,1,0
Patito Feo,1,1,1,1
Armik,1,1,1,1
La Troba Kung-Fú,1,0,1,0
Pisko,1,0,1,0
N.O.R.E.,1,0,1,0
Kobra And The Lotus,1,0,1,0
Henri Vieuxtemps,1,1,1,1
Sepp,1,0,1,0
The Presets,1,0,1,0
Holden,1,1,1,1
Cheryl Porter,1,1,1,1
Lindiwe Mkhize,1,1,1,1
Puerto Rico Y Su Combo,1,0,1,0
45 Dip,1,1,1,1
Charles Schillings,1,1,1,1
Doctor Rockit,1,1,1,1
Michalis Hatzigiannis,1,1,1,1
Nikos Vertis,1,1,1,1
Seefeel,1,0,1,0
Jean du Voyage,1,1,1,1
Orchestre Symphonique de Montréal,1,1,1,1
Massimo Volume,1,0,1,0
Melissas,1,1,1,1
Toshio Hosokawa,1,0,1,0
Mr. Brown,1,0,1,0
Sampha,1,1,1,1
Mos Def,1,1,1,1
Crêuza de mä pe zêna,1,0,1,0
High Klassified,1,1,1,1
The Sphinx,1,0,1,0
Alessandro Cortini,1,1,1,1
Gidge,1,1,1,1
Dreamville,1,1,1,1
John Holm,1,1,1,1
November,1,1,1,1
Jan Hammarlund,1,1,1,1
Jules Gaia,1,0,1,0
Alan Fitzpatrick,1,1,1,1
WEISS,1,1,1,1
Sultan + Shepard,1,1,1,1
The Shapeshifters,1,1,1,1
Bingo Players,1,1,1,1
Duck Sauce,1,1,1,1
Sander van Doorn,1,1,1,1
Francobollo,1,0,1,0
Daron Malakian and Scars On Broadway,1,0,1,0
Hey Hey Camaguey,1,1,1,1
Dj Ricky Campanelli,1,1,1,1
Kryder,1,1,1,1
Dimitri Vangelis & Wyman,1,1,1,1
Hi_Tack,1,0,1,0
Gabriel Ananda,1,1,1,1
Helices,1,1,1,1
La Ciencia Simple,1,1,1,1
Baikonur,1,1,1,1
Aspasia,1,1,1,1
Un Dia,1,1,1,1
Meridiano De Zürich,1,1,1,1
La Gran Perdida De Energia,1,1,1,1
La raza de los cabizbajos,1,1,1,1
El baile del penultimo día,1,1,1,1
Jovenabuelo,1,1,1,1
Atomic Kitten,1,0,1,0
Jil Is Lucky,1,0,1,0
Binomio de Oro,1,0,1,0
Skeem,1,1,1,1
Gerald Toto,1,0,1,0
TKZEE,1,1,1,1
Ezekiel,1,1,1,1
Pritty,1,1,1,1
Blue Mitchell,1,1,1,1
Cain's Offering,1,1,1,1
Iced Earth,1,0,1,0
Axel Rudi Pell,1,0,1,0
Serenity,1,0,1,0
Benjamin Martins,1,1,1,1
369,1,1,1,1
Lucas Delphy,1,1,1,1
Eline Moss,1,1,1,1
Marlee Tuaine,1,1,1,1
Cora Zea,1,1,1,1
Clear Blue Skies,1,1,1,1
Golden Horses,1,1,1,1
Mayra R,1,1,1,1
Mirror Inside,1,1,1,1
Forest Landing,1,1,1,1
From Overseas,1,1,1,1
Evin Iris,1,1,1,1
Däalo,1,1,1,1
Rouge Haven,1,1,1,1
Syntropy,1,1,1,1
Reina del Mar,1,1,1,1
Yolta,1,1,1,1
ANDRIEU,1,1,1,1
Beau Projet,1,1,1,1
12dust,1,1,1,1
RRST,1,1,1,1
Cake House,1,1,1,1
Lama House,1,1,1,1
Gae Terragni,1,1,1,1
Alleppey,1,1,1,1
The Tides,1,1,1,1
Tomek Kolczynski,1,0,1,0
Stegosaurus Rex,1,1,1,1
Anton Karas,1,0,1,0
Arena Jaära,1,0,1,0
Los Doltons,1,1,1,1
Los Termits,1,1,1,1
Los Silverton's,1,1,1,1
Los Golden Stars,1,1,1,1
Manuel Donayre,1,1,1,1
Cecilia Barraza,1,1,1,1
Abelrado Vásquez,1,1,1,1
Nicómedes Santa Cruz,1,1,1,1
The Pom-Poms,1,1,1,1
Bienvenido Granda,1,0,1,0
Aldo del Río,1,1,1,1
Cumbia en Moog,1,1,1,1
Hang Massive,1,1,1,1
Razorlight,1,0,1,0
My Brightest Diamond,1,1,1,1
Ajja,1,1,1,1
Tlen Huicani,1,1,1,1
Ebony Day,1,1,1,1
John Powell,1,0,1,0
Adrián Otárola,1,1,1,1
Ariel Ramírez,1,1,1,1
Simón Díaz,1,1,1,1
Faust,1,1,1,1
Chris Merrick Hughes,1,1,1,1
Roberto Attanasio,1,1,1,1
Hior Chronik,1,1,1,1
The Gentleman Losers,1,1,1,1
Manu Katché,1,1,1,1
Sergio Díaz De Rojas,1,1,1,1
Stefano Guzzetti,1,1,1,1
Arzachel,1,1,1,1
Pablo La Porta,1,0,1,0
Kris Kristofferson,1,0,1,0
B.J. Thomas,1,1,1,1
Lanterns on the Lake,1,1,1,1
Josiah Everhart,1,1,1,1
Philip Sheppard,1,1,1,1
Marcin Przybyłowicz,1,1,1,1
Giles Corey,1,1,1,1
Pretty Vicious,1,1,1,1
Mike Krol,1,1,1,1
Breton,1,1,1,1
Flatsound,1,1,1,1
Bedroom,1,1,1,1
SIAMES,1,1,1,1
PUTOCHINOMARICÓN,1,1,1,1
Albin Myers,1,1,1,1
Pickle,1,1,1,1
Lucille Croft,1,1,1,1
Eptic,1,1,1,1
The Forgotten,1,1,1,1
Extra Terra,1,1,1,1
BARELY ALIVE,1,1,1,1
Mascarpone,1,1,1,1
Tzafu,1,1,1,1
1788-L,1,1,1,1
Bossfight,1,1,1,1
KLOUD,1,1,1,1
SWARM,1,1,1,1
Caster,1,1,1,1
TOKYO ROSE,1,1,1,1
Ben Esser,1,1,1,1
Todd Terje,1,1,1,1
Marconi Union,1,1,1,1
Rebe,1,1,1,1
Spirituals,1,1,1,1
Royal Scottish National Orchestra,1,1,1,1
Ian Mulder,1,1,1,1
Munich Philharmonic Orchestra,1,1,1,1
Munich Radio Orchestra,1,1,1,1
Göteborg Wind Orchestra,1,1,1,1
Jukebox The Ghost,1,1,1,1
Stardust,1,1,1,1
Lito Barrientos y su Orquesta,1,1,1,1
Nación Ekeko,1,1,1,1
Systema Solar,1,1,1,1
Violet Chachki,1,0,1,0
Betacam,1,1,1,1
Fuzzy Snakes,1,0,1,0
trentemøller,1,1,1,1
Patrick Droney,1,0,1,0
Joy Oladokun,1,0,1,0
Cautious Clay,1,0,1,0
Harry Hudson,1,0,1,0
Wet,1,0,1,0
Niykee Heaton,1,0,1,0
Blake Rose,1,0,1,0
Akcent,1,0,1,0
Alysha,1,0,1,0
Marina Rossell,1,0,1,0
REC'n'Play,1,1,1,1
Shouse,1,1,1,1
Al Gromer Khan,1,1,1,1
Chandra Lacombe,1,1,1,1
Kamal Engels,1,1,1,1
Jane Winther,1,1,1,1
Sangit Om,1,1,1,1
Snatam Kaur,1,1,1,1
Masood Ali Khan,1,1,1,1
Prem Joshua,1,1,1,1
Nadama,1,1,1,1
Singh Kaur,1,1,1,1
Wah!,1,1,1,1
Manish Vyas,1,1,1,1
Parijat,1,1,1,1
Peter McPoland,1,1,1,1
Shinehead,1,1,1,1
Tony O'Connor,1,1,1,1
Монти Механик,1,1,1,1
Сёстры,1,1,1,1
Ада,1,1,1,1
The Retuses,1,1,1,1
Samoe Bolshoe Prostoe Chislo,1,1,1,1
ИЛЬЯМАЗО,1,1,1,1
Doppelgänger,1,0,1,0
Chevy,1,1,1,1
Samsa,1,1,1,1
Charlie Burg,1,1,1,1
Puzzle,1,1,1,1
Richard Luke,1,1,1,1
Nightshift,1,0,1,0
THE SCOTTS,1,1,1,1
Klezmer Music,1,1,1,1
Petit Ours Brun,1,0,1,0
Personality,1,0,1,0
White Lies,1,1,1,1
Kaiser Quartett,1,0,1,0
César Mora,1,1,1,1
LadBaby,1,0,1,0
Chris Cohen,1,1,1,1
Mulata,1,0,1,0
Mister Yo,1,0,1,0
Los Trampa,1,0,1,0
Agrupación Sin Ley,1,0,1,0
Bolivianos,1,0,1,0
Fellini Félin,1,0,1,0
WhoMadeWho,1,0,1,0
Fakear,1,0,1,0
Joris Delacroix,1,0,1,0
Parra for Cuva,1,0,1,0
Kazy Lambist,1,0,1,0
alexmaax,1,1,1,1
источник,1,0,1,0
Elena Setién,1,0,1,0
Gabber Modus Operandi,1,0,1,0
kraymira,1,0,1,0
Beautify Junkyards,1,0,1,0
New Sylveon,1,1,1,1
Alchimyst,1,1,1,1
East Forest,1,1,1,1
MAXIMUM THE HORMONE,1,1,1,1
Los Dinosaurios Murieron Ayer,1,1,1,1
Duplat,1,1,1,1
Matiu Colin,1,1,1,1
Bella Álvarez,1,1,1,1
Sunny Day Service,1,1,1,1
Hi-Fi Set,1,1,1,1
EPO,1,1,1,1
Off Course,1,1,1,1
1986 OMEGA TRIBE,1,1,1,1
Xxtarlit⚸,1,0,1,0
Noisekick,1,1,1,1
Pernett,1,1,1,1
Tzotzollin,1,1,1,1
LAOR,1,1,1,1
Josh Rouse,1,0,1,0
Mirèle,1,1,1,1
We,1,0,1,0
Pinc Louds,1,1,1,1
Kanazu Tomoyuki,1,1,1,1
Woody Guthrie,1,0,1,0
JIMMY EDGAR,1,1,1,1
Francis Cabrel,1,0,1,0
LA Timpa,1,1,1,1
foodman,1,1,1,1
Tire Le Coyote,1,1,1,1
Dear Criminals,1,1,1,1
Fred Pellerin,1,1,1,1
Avec pas d'casque,1,1,1,1
Tora-i,1,1,1,1
Nwando Ebizie,1,1,1,1
GardenGang77,1,0,1,0
ELDER MIREKU,1,1,1,1
Antônio Neves,1,1,1,1
Thiago França,1,1,1,1
Douglas Germano,1,1,1,1
Posada,1,1,1,1
Tropical Fuck Storm,1,0,1,0
Le Sextet à Claques,1,0,1,0
Marin Marais,1,0,1,0
Ayahuapu,1,0,1,0
Alonso Del Rio,1,0,1,0
Grupo Putumayo,1,1,1,1
SIERRA,1,1,1,1
Kap Bambino,1,0,1,0
Gater,1,0,1,0
Neil Cowley Trio,1,1,1,1
Manu Delago,1,1,1,1
Neil Cowley,1,1,1,1
Vianney,1,0,1,0
Les Frangines,1,0,1,0
Nasty Cherry,1,0,1,0
girli,1,0,1,0
BROODS,1,0,1,0
Baby Tate,1,0,1,0
Hayley Kiyoko,1,0,1,0
Tommy Genesis,1,0,1,0
Aly & AJ,1,0,1,0
Herbert Quinteros,1,1,1,1
Lord Belial,1,1,1,1
Diva Faune,1,0,1,0
LCY,1,1,1,1
Xeno & Oaklander,1,1,1,1
Léa Castel,1,0,1,0
Generation X,1,1,1,1
Infecticide,1,1,1,1
Kiwi666,1,0,1,0
Georgio,1,0,1,0
Alexia Gredy,1,0,1,0
Glykeria,1,1,1,1
Stelios Kazantzidis,1,1,1,1
Dionysis Savvopoulos,1,1,1,1
Eleni Vitali,1,1,1,1
26ar,1,1,1,1
Thrupence,1,1,1,1
Ahxello,1,0,1,0
Elfenberg,1,0,1,0
Big L,1,1,1,1
Naughty By Nature,1,1,1,1
Rakim,1,0,1,0
Jorja Smith,1,1,1,1
SOB X RBE,1,1,1,1
Ab-Soul,1,1,1,1
Anna Lunoe,1,1,1,1
Darzack,1,1,1,1
Pablo Pepstasy,1,1,1,1
Tyson Motsenbocker,1,1,1,1
Benjamin Francis Leftwich,1,1,1,1
Andrew Belle,1,1,1,1
Blind Pilot,1,1,1,1
The Viper,1,1,1,1
Masters of Ceremony,1,1,1,1
Rubio,1,1,1,1
Cristóbal Briceño,1,1,1,1
Protistas,1,1,1,1
Tunacola,1,1,1,1
Alex Anwandter,1,1,1,1
Sol Pereyra,1,1,1,1
Camila Moreno,1,1,1,1
Planeta No,1,1,1,1
Paz Court,1,1,1,1
69 Nombres,1,1,1,1
Karkwa,1,1,1,1
El Remolón,1,1,1,1
Hiro Kone,1,1,1,1
Kermesse,1,1,1,1
MC Einstein,1,1,1,1
Yung Sherman,1,1,1,1
SpaceGhostPurrp,1,1,1,1
Hot Chelle Rae,1,1,1,1
Fasotek,1,1,1,1
Viken Arman,1,1,1,1
Susso,1,1,1,1
Antique Bronze,1,1,1,1
Figli Di Madre Ignota,1,1,1,1
Overmono,1,1,1,1
Gil Scott-Heron,1,1,1,1
Les plus belles comptines d'Okoo,1,1,1,1
La Otra,1,1,1,1
Flor Amargo,1,1,1,1
Renee Goust,1,1,1,1
Intergalactic Lovers,1,1,1,1
Isbells,1,1,1,1
Bisou,1,1,1,1
Born Ruffians,1,1,1,1
Pablo Bozzi,1,1,1,1
Die Selektion,1,1,1,1
Malto,1,1,1,1
Cam Meekins,1,1,1,1
TomPepe,1,1,1,1
Bizarre,1,1,1,1
KAS,1,1,1,1
Immortal Technique,1,1,1,1
Token,1,1,1,1
Kyle Coglitore,1,1,1,1
Witt Lowry,1,1,1,1
Eamon,1,1,1,1
Stat Quo,1,1,1,1
Kathleen MacInnes,1,1,1,1
Matt Molloy,1,1,1,1
Aly Bain,1,1,1,1
Hanneke Cassel,1,1,1,1
Frankie Gavin,1,1,1,1
Mick O'Brien & Caoimhín Ó Raghallaigh,1,1,1,1
Kinnaris Quintet,1,1,1,1
Doubutsu System,1,1,1,1
Haisuinonasa,1,1,1,1
Kindness,1,0,1,0
Perila,1,1,1,1
Justin Wellington,1,0,1,0
The Puppini Sisters,1,0,1,0
HAAi,1,1,1,1
Uh Uh,1,0,1,0
Dominik Eulberg,1,1,1,1
Jay Daniel,1,1,1,1
Dunga Bristo,1,1,1,1
Addressed Characters,1,1,1,1
Moon Diagrams,1,1,1,1
Talaboman,1,1,1,1
Hector Plimmer,1,1,1,1
le Ceoltóiri Cultúrlainne,1,0,1,0
Ethan Tasch,1,1,1,1
Atticus Walker,1,1,1,1
Arinushka,1,1,1,1
Bachan Kaur,1,1,1,1
Nick Barber,1,1,1,1
Yatao,1,1,1,1
chris orange,1,1,1,1
Mishkin Fitzgerald,1,1,1,1
Anneke Van Giersbergen,1,0,1,0
The Night Flight Orchestra,1,1,1,1
The Cog is Dead,1,1,1,1
thook,1,1,1,1
Rohaan,1,1,1,1
JKuch,1,1,1,1
Hudson Lee,1,1,1,1
sumthin sumthin,1,1,1,1
On Planets,1,1,1,1
Leotrix,1,1,1,1
Whereisalex,1,1,1,1
Tails,1,1,1,1
Chee,1,1,1,1
Moore Kismet,1,1,1,1
MEMBA,1,1,1,1
Juelz,1,1,1,1
Pig&Dan,1,1,1,1
Giorgia Angiuli,1,1,1,1
Spada,1,1,1,1
Ann Clue,1,0,1,0
Lazarito Valdés y Bamboleo,1,1,1,1
Graham Coxon,1,1,1,1
Baptiste Sejourne,1,1,1,1
Chairlift,1,1,1,1
TV On The Radio,1,1,1,1
